City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
0,Tiksi,71.6872,128.8694,-25.56,86,100,5.82,RU,2021-02-06 18:05:26,overcast clouds
1,Sinnamary,5.3833,-52.95,79.52,85,91,16.06,GF,2021-02-06 18:05:26,overcast clouds
2,Qaqortoq,60.7167,-46.0333,33.8,25,1,24.16,GL,2021-02-06 18:05:26,clear sky
3,Saldanha,-33.0117,17.9442,73.4,68,20,18.41,ZA,2021-02-06 18:05:26,few clouds
4,Chahal,15.75,-89.5667,91.81,36,8,0.6,GT,2021-02-06 18:05:26,clear sky
5,Busselton,-33.65,115.3333,59.0,95,100,1.01,AU,2021-02-06 18:05:26,light rain
6,Barrow,71.2906,-156.7887,-0.4,71,90,11.5,US,2021-02-06 18:01:08,haze
7,Antalaha,-14.9003,50.2788,77.86,78,63,1.23,MG,2021-02-06 18:05:27,broken clouds
8,Rikitea,-23.1203,-134.9692,77.65,74,100,12.37,PF,2021-02-06 18:05:27,overcast clouds
9,Punta Arenas,-53.15,-70.9167,59.0,41,40,21.85,CL,2021-02-06 18:05:27,scattered clouds
10,Saint-Philippe,-21.3585,55.7679,80.6,83,40,4.61,RE,2021-02-06 18:05:27,light rain
11,Namatanai,-3.6667,152.4333,78.78,80,76,2.93,PG,2021-02-06 18:05:27,broken clouds
12,Bluff,-46.6,168.3333,53.35,86,23,4.5,NZ,2021-02-06 18:05:27,few clouds
13,Butaritari,3.0707,172.7902,81.01,81,94,21.7,KI,2021-02-06 18:05:27,light rain
14,Ushuaia,-54.8,-68.3,53.6,50,20,21.85,AR,2021-02-06 18:02:13,few clouds
15,Hermanus,-34.4187,19.2345,71.01,83,33,1.99,ZA,2021-02-06 18:05:27,scattered clouds
16,Puerto Ayora,-0.7393,-90.3518,81.0,78,75,11.5,EC,2021-02-06 18:05:27,moderate rain
17,Saskylakh,71.9167,114.0833,-35.25,81,80,5.3,RU,2021-02-06 18:05:27,broken clouds
18,Betlitsa,54.0095,33.9588,1.24,93,100,7.76,RU,2021-02-06 18:05:27,overcast clouds
19,Kaitangata,-46.2817,169.8464,49.91,93,2,2.91,NZ,2021-02-06 18:05:27,clear sky
20,Shimoda,34.6667,138.95,49.86,59,0,11.88,JP,2021-02-06 18:03:11,clear sky
21,Chuy,-33.6971,-53.4616,82.99,46,0,10.51,UY,2021-02-06 18:05:28,clear sky
22,Banda Aceh,5.5577,95.3222,78.28,84,46,7.87,ID,2021-02-06 18:05:28,scattered clouds
23,Maniitsoq,65.4167,-52.9,25.47,79,0,16.26,GL,2021-02-06 18:05:28,clear sky
24,Mataura,-46.1927,168.8643,48.78,95,2,1.3,NZ,2021-02-06 18:05:28,clear sky
25,Sabha,27.0377,14.4283,68.22,23,53,8.52,LY,2021-02-06 18:05:28,broken clouds
26,Deputatskiy,69.3,139.9,-35.9,85,74,1.05,RU,2021-02-06 18:05:28,broken clouds
27,Klaksvik,62.2266,-6.589,33.8,64,20,20.71,FO,2021-02-06 18:05:28,few clouds
28,New Norfolk,-42.7826,147.0587,57.99,78,26,1.01,AU,2021-02-06 18:05:28,scattered clouds
29,Hilo,19.7297,-155.09,64.4,63,1,5.75,US,2021-02-06 18:05:28,clear sky
30,Faanui,-16.4833,-151.75,81.45,70,0,10.33,PF,2021-02-06 18:05:28,light rain
31,Vaini,-21.2,-175.2,75.2,88,75,5.75,TO,2021-02-06 18:05:28,broken clouds
32,Bolshoy Lug,52.0779,104.0919,-0.4,85,0,4.47,RU,2021-02-06 18:05:28,clear sky
33,Naze,28.3667,129.4833,61.3,81,97,7.14,JP,2021-02-06 18:05:29,overcast clouds
34,Cherskiy,68.75,161.3,-9.62,81,0,6.42,RU,2021-02-06 18:05:29,clear sky
35,Bredasdorp,-34.5322,20.0403,71.6,73,27,17.27,ZA,2021-02-06 18:05:29,scattered clouds
36,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,17.27,CA,2021-02-06 18:05:29,snow
37,Miri,4.4148,114.0089,78.8,94,40,4.68,MY,2021-02-06 18:05:29,heavy intensity rain
38,Mareeba,-17.0,145.4333,78.8,89,90,1.14,AU,2021-02-06 18:05:29,overcast clouds
39,Carutapera,-1.195,-46.02,88.9,56,52,10.25,BR,2021-02-06 18:05:29,broken clouds
40,Portland,45.5234,-122.6762,45.0,76,90,10.36,US,2021-02-06 18:04:47,overcast clouds
41,Labrea,-7.2586,-64.7981,81.97,90,96,0.47,BR,2021-02-06 18:05:29,overcast clouds
42,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,75,5.75,BR,2021-02-06 18:05:29,moderate rain
43,Norman Wells,65.282,-126.8329,-34.6,74,75,5.75,CA,2021-02-06 18:05:29,broken clouds
44,Tessalit,20.1986,1.0114,81.27,14,100,9.33,ML,2021-02-06 18:05:30,overcast clouds
45,Freeport,40.6576,-73.5832,44.01,36,1,21.85,US,2021-02-06 18:00:51,clear sky
46,Port Elizabeth,-33.918,25.5701,71.6,88,75,11.5,ZA,2021-02-06 18:05:02,broken clouds
47,Avera,33.194,-82.5271,51.01,53,90,9.22,US,2021-02-06 18:05:30,overcast clouds
48,Saryg-Sep,51.5,95.6,3.36,90,16,3.09,RU,2021-02-06 18:05:30,few clouds
49,Grand Gaube,-20.0064,57.6608,80.01,80,32,4.0,MU,2021-02-06 18:03:40,scattered clouds
50,Dire,12.2833,-10.9667,97.39,10,74,4.79,ML,2021-02-06 18:05:30,broken clouds
51,Cape Town,-33.9258,18.4232,73.99,73,40,16.11,ZA,2021-02-06 18:04:47,scattered clouds
52,East London,-33.0153,27.9116,75.2,94,20,4.61,ZA,2021-02-06 18:05:30,few clouds
53,Albany,42.6001,-73.9662,36.0,59,75,12.66,US,2021-02-06 18:00:54,broken clouds
54,Sisimiut,66.9395,-53.6735,20.84,75,0,14.29,GL,2021-02-06 18:05:30,clear sky
55,Georgetown,5.4112,100.3354,82.4,83,20,2.3,MY,2021-02-06 18:05:30,few clouds
56,Luba,3.4568,8.5547,86.0,79,20,11.5,GQ,2021-02-06 18:05:30,few clouds
57,Guderup,54.9898,9.8717,28.4,80,90,24.16,DK,2021-02-06 18:05:30,light snow
58,Dabat,12.9842,37.765,45.09,51,35,3.18,ET,2021-02-06 18:05:31,scattered clouds
59,Naryan-Mar,67.6713,53.087,-25.87,85,58,12.8,RU,2021-02-06 18:05:31,broken clouds
60,Ryotsu,38.0833,138.4333,47.08,69,7,16.75,JP,2021-02-06 18:05:31,clear sky
61,Upernavik,72.7868,-56.1549,19.96,80,100,4.99,GL,2021-02-06 18:05:31,overcast clouds
62,Saint George,37.1041,-113.5841,52.0,39,1,3.44,US,2021-02-06 18:00:50,clear sky
63,Balclutha,-46.2339,169.75,48.09,97,2,2.28,NZ,2021-02-06 18:05:31,clear sky
64,Lompoc,34.6391,-120.4579,60.8,58,1,3.44,US,2021-02-06 18:05:31,clear sky
65,Praia Da Vitoria,38.7333,-27.0667,62.6,77,40,11.63,PT,2021-02-06 18:05:31,scattered clouds
66,Madras,13.0878,80.2785,73.4,78,20,9.28,IN,2021-02-06 18:03:28,mist
67,Madhipura,25.9167,86.7833,54.81,74,0,2.3,IN,2021-02-06 18:05:31,clear sky
68,College,64.8569,-147.8028,-9.0,70,90,0.72,US,2021-02-06 18:02:58,light snow
69,Sterling,39.0062,-77.4286,48.0,36,90,9.22,US,2021-02-06 18:00:58,overcast clouds
70,Khandyga,62.6667,135.6,-26.97,85,100,1.99,RU,2021-02-06 18:05:31,overcast clouds
71,Kemijarvi,66.7131,27.4306,15.22,95,65,9.62,FI,2021-02-06 18:05:32,broken clouds
72,Dunedin,-45.8742,170.5036,57.99,85,3,4.0,NZ,2021-02-06 18:05:32,clear sky
73,Carnarvon,-24.8667,113.6333,80.6,100,75,10.36,AU,2021-02-06 18:03:12,broken clouds
74,Surab,28.4914,66.2585,42.98,37,0,3.15,PK,2021-02-06 18:05:32,clear sky
75,Coruripe,-10.1256,-36.1756,85.93,61,90,18.61,BR,2021-02-06 18:05:32,overcast clouds
76,Coihaique,-45.5752,-72.0662,73.4,38,75,6.91,CL,2021-02-06 18:05:32,broken clouds
77,Bartica,6.4,-58.6167,86.0,66,75,11.5,GY,2021-02-06 18:05:32,broken clouds
78,Kuching,1.55,110.3333,75.2,100,40,1.1,MY,2021-02-06 18:05:32,light rain
79,Broken Hill,-31.95,141.4333,64.4,68,43,16.11,AU,2021-02-06 18:05:32,scattered clouds
80,Kodiak,57.79,-152.4072,28.4,64,1,3.44,US,2021-02-06 18:05:32,clear sky
81,Lavrentiya,65.5833,-171.0,-4.56,80,73,4.29,RU,2021-02-06 18:05:32,broken clouds
82,Nikolskoye,59.7035,30.7861,10.4,79,75,17.9,RU,2021-02-06 18:05:33,snow
83,Jamestown,42.097,-79.2353,21.2,53,1,20.71,US,2021-02-06 18:05:33,clear sky
84,Rovinj,45.08,13.64,55.4,82,90,4.61,HR,2021-02-06 18:05:33,overcast clouds
85,Cockburn Town,21.4612,-71.1419,82.4,65,40,16.11,TC,2021-02-06 18:04:32,scattered clouds
86,Sorland,67.667,12.6934,34.79,82,95,25.55,NO,2021-02-06 18:05:33,overcast clouds
87,Coahuayana,18.7333,-103.6833,75.2,64,1,5.03,MX,2021-02-06 18:05:33,clear sky
88,Mocuba,-16.8392,36.9856,77.68,86,81,4.61,MZ,2021-02-06 18:05:33,broken clouds
89,Mar Del Plata,-38.0023,-57.5575,69.8,64,75,14.97,AR,2021-02-06 18:05:33,broken clouds
90,Zanjan,36.6736,48.4787,40.26,85,100,3.83,IR,2021-02-06 18:05:33,overcast clouds
91,Geraldton,-28.7667,114.6,69.8,94,90,23.02,AU,2021-02-06 18:04:35,overcast clouds
92,Ribeira Grande,38.5167,-28.7,60.8,88,75,21.85,PT,2021-02-06 18:05:33,broken clouds
93,Cauquenes,-35.9671,-72.3225,81.36,42,4,8.05,CL,2021-02-06 18:05:33,clear sky
94,Edson,53.5835,-116.4356,-9.4,77,90,5.75,CA,2021-02-06 18:05:33,light snow
95,Hobart,-42.8794,147.3294,57.99,82,75,4.61,AU,2021-02-06 18:05:34,broken clouds
96,Ponta Do Sol,32.6667,-17.1,60.01,61,39,1.99,PT,2021-02-06 18:05:34,scattered clouds
97,Burnie,-41.0667,145.9167,61.0,85,79,5.01,AU,2021-02-06 18:05:34,broken clouds
98,Synya,65.3718,58.0387,-26.1,85,100,9.06,RU,2021-02-06 18:05:34,overcast clouds
99,Isangel,-19.55,169.2667,77.49,80,0,3.76,VU,2021-02-06 18:05:34,clear sky
100,Hami,42.8,93.45,31.32,80,96,4.47,CN,2021-02-06 18:05:34,overcast clouds
101,Nyuksenitsa,60.4128,44.2397,-5.76,89,100,10.13,RU,2021-02-06 18:05:34,overcast clouds
102,Codrington,-38.2667,141.9667,58.21,79,93,14.16,AU,2021-02-06 18:05:34,overcast clouds
103,Nelson Bay,-32.7167,152.15,70.0,100,90,10.36,AU,2021-02-06 18:05:34,overcast clouds
104,Byron Bay,-28.65,153.6167,69.8,94,90,2.71,AU,2021-02-06 18:05:34,overcast clouds
105,Irbeyskoye,55.6428,95.4522,17.64,94,100,5.26,RU,2021-02-06 18:05:34,overcast clouds
106,Tuatapere,-46.1333,167.6833,51.51,85,1,3.78,NZ,2021-02-06 18:05:34,clear sky
107,Segezha,63.7415,34.3222,13.87,97,100,9.4,RU,2021-02-06 18:05:35,light snow
108,Mahebourg,-20.4081,57.7,78.8,83,20,5.75,MU,2021-02-06 18:05:35,few clouds
109,Avarua,-21.2078,-159.775,78.8,89,17,3.44,CK,2021-02-06 18:05:35,few clouds
110,Mayumba,-3.432,10.6554,80.15,80,79,4.88,GA,2021-02-06 18:05:35,broken clouds
111,Gobabis,-22.45,18.9667,80.08,39,51,11.14,NA,2021-02-06 18:05:35,broken clouds
112,Dikson,73.5069,80.5464,-29.36,86,50,10.25,RU,2021-02-06 18:05:35,scattered clouds
113,Kloulklubed,7.0419,134.2556,78.8,94,75,11.5,PW,2021-02-06 18:05:35,broken clouds
114,Tasiilaq,65.6145,-37.6368,32.0,80,75,43.73,GL,2021-02-06 18:05:35,light rain
115,Airai,-8.9266,125.4092,60.51,100,100,2.39,TL,2021-02-06 18:05:35,light rain
116,Ambilobe,-13.2,49.05,75.18,90,97,0.43,MG,2021-02-06 18:05:35,light rain
117,Zhigansk,66.7697,123.3711,-41.44,80,48,10.74,RU,2021-02-06 18:05:35,scattered clouds
118,Te Anau,-45.4167,167.7167,50.94,86,26,1.14,NZ,2021-02-06 18:05:35,scattered clouds
119,Jumla,29.2747,82.1838,27.59,79,5,6.11,NP,2021-02-06 18:05:35,clear sky
120,Belmonte,-15.8631,-38.8828,86.0,79,75,9.22,BR,2021-02-06 18:05:36,broken clouds
121,Moron,-34.6534,-58.6198,95.0,32,0,1.01,AR,2021-02-06 18:05:36,clear sky
122,Castro,-24.7911,-50.0119,76.44,48,0,6.96,BR,2021-02-06 18:05:36,clear sky
123,Obidos,-1.9175,-55.5181,94.96,37,25,4.83,BR,2021-02-06 18:05:36,scattered clouds
124,Camacha,33.0833,-16.3333,59.0,72,40,18.41,PT,2021-02-06 18:05:36,scattered clouds
125,Yellowknife,62.456,-114.3525,-41.01,66,1,3.44,CA,2021-02-06 18:05:36,mist
126,Cuamba,-14.8031,36.5372,73.15,92,98,2.26,MZ,2021-02-06 18:05:36,overcast clouds
127,Wiang Sa,8.6359,99.3666,72.3,89,70,2.19,TH,2021-02-06 18:05:36,broken clouds
128,Denpasar,-8.65,115.2167,77.0,100,20,2.3,ID,2021-02-06 18:05:36,few clouds
129,Puerto Leguizamo,-0.1934,-74.7819,84.81,66,99,4.23,CO,2021-02-06 18:05:36,moderate rain
130,Mount Pleasant,32.7941,-79.8626,52.0,71,90,4.61,US,2021-02-06 18:00:38,overcast clouds
131,Kapaa,22.0752,-159.319,60.01,88,1,6.91,US,2021-02-06 18:05:36,clear sky
132,Atuona,-9.8,-139.0333,80.17,77,59,22.73,PF,2021-02-06 18:05:36,broken clouds
133,Bubaque,11.2833,-15.8333,79.88,63,24,14.99,GW,2021-02-06 18:05:37,few clouds
134,Okha,53.5739,142.9478,-0.67,93,100,14.12,RU,2021-02-06 18:05:37,overcast clouds
135,Zambezi,-13.5432,23.1047,71.67,84,71,2.55,ZM,2021-02-06 18:05:37,light rain
136,Waipawa,-41.4122,175.5153,53.01,87,100,3.44,NZ,2021-02-06 18:05:37,overcast clouds
137,Los Llanos De Aridane,28.6585,-17.9182,64.4,63,20,17.27,ES,2021-02-06 18:05:37,few clouds
138,Qaanaaq,77.484,-69.3632,12.22,88,100,8.16,GL,2021-02-06 18:05:37,overcast clouds
139,Thompson,55.7435,-97.8558,-32.8,61,75,14.97,CA,2021-02-06 18:05:37,snow
140,Fortuna,40.5982,-124.1573,48.99,93,90,4.61,US,2021-02-06 18:05:37,overcast clouds
141,Faya,18.3851,42.4509,53.6,82,20,8.05,SA,2021-02-06 18:05:37,few clouds
142,Verkhnyaya Inta,65.9811,60.3094,-28.95,85,53,9.6,RU,2021-02-06 18:05:37,broken clouds
143,Juneau,58.3019,-134.4197,19.4,79,75,4.61,US,2021-02-06 18:05:37,broken clouds
144,Port Alfred,-33.5906,26.891,73.99,92,25,9.26,ZA,2021-02-06 18:05:38,scattered clouds
145,Atasu,48.6814,71.6433,35.94,99,100,27.58,KZ,2021-02-06 18:05:38,light rain
146,Hasaki,35.7333,140.8333,39.2,87,20,3.44,JP,2021-02-06 18:05:38,few clouds
147,Moussoro,13.6408,16.4901,74.07,17,62,10.25,TD,2021-02-06 18:05:38,broken clouds
148,Yushan,31.3776,120.9543,53.01,93,0,3.24,CN,2021-02-06 18:05:38,clear sky
149,High Level,58.5169,-117.136,-40.0,74,20,1.32,CA,2021-02-06 18:05:38,mist
150,Kavaratti,10.5669,72.642,81.09,66,0,12.21,IN,2021-02-06 18:05:38,clear sky
151,Marsh Harbour,26.5412,-77.0636,76.82,76,0,18.41,BS,2021-02-06 18:05:15,clear sky
152,Senanga,-16.1167,23.2667,75.74,70,62,1.79,ZM,2021-02-06 18:05:38,broken clouds
153,Takoradi,4.8845,-1.7554,81.99,81,34,10.96,GH,2021-02-06 18:05:38,scattered clouds
154,Amapa,1.0,-52.0,83.89,70,100,3.04,BR,2021-02-06 18:04:51,overcast clouds
155,Tahara,34.6667,137.2667,50.0,59,0,5.99,JP,2021-02-06 18:05:39,clear sky
156,Royan,45.6285,-1.0281,48.2,93,90,11.5,FR,2021-02-06 18:05:39,overcast clouds
157,Kupang,-10.1667,123.5833,79.38,83,97,7.87,ID,2021-02-06 18:05:39,overcast clouds
158,Lagoa,39.05,-27.9833,59.63,90,100,22.19,PT,2021-02-06 18:05:39,overcast clouds
159,Poya,-21.35,165.15,74.68,84,15,2.39,NC,2021-02-06 18:05:39,few clouds
160,Hithadhoo,-0.6,73.0833,81.77,77,90,15.7,MV,2021-02-06 18:05:39,overcast clouds
161,Laguna,38.421,-121.4238,53.01,71,1,4.61,US,2021-02-06 18:02:39,clear sky
162,Kudahuvadhoo,2.6708,72.8944,81.52,75,58,13.85,MV,2021-02-06 18:05:39,broken clouds
163,Okhotsk,59.3833,143.3,2.01,90,100,9.17,RU,2021-02-06 18:05:39,overcast clouds
164,Biltine,14.5333,20.9167,72.27,18,1,13.58,TD,2021-02-06 18:05:39,clear sky
165,Torbay,47.6666,-52.7314,35.6,87,90,6.91,CA,2021-02-06 18:03:19,light rain
166,Souillac,-20.5167,57.5167,78.8,83,20,5.75,MU,2021-02-06 18:05:39,few clouds
167,Boa Vista,2.8197,-60.6733,89.6,45,90,12.66,BR,2021-02-06 18:05:39,light rain
168,North Bend,43.4065,-124.2243,45.0,93,90,4.61,US,2021-02-06 18:02:40,overcast clouds
169,Marzuq,14.4,46.4667,60.55,75,0,5.93,YE,2021-02-06 18:05:39,clear sky
170,Kieta,-6.2167,155.6333,79.88,79,93,7.7,PG,2021-02-06 18:05:40,overcast clouds
171,Mahanoro,-19.9,48.8,80.51,81,98,9.98,MG,2021-02-06 18:05:40,overcast clouds
172,Karratha,-20.7377,116.8463,78.39,75,28,10.96,AU,2021-02-06 18:05:40,scattered clouds
173,Yulara,-25.2406,130.9889,73.4,35,15,9.22,AU,2021-02-06 18:04:16,few clouds
174,Chokurdakh,70.6333,147.9167,-19.98,86,91,6.8,RU,2021-02-06 18:05:40,overcast clouds
175,Marrakesh,31.6315,-8.0083,51.8,82,75,12.66,MA,2021-02-06 18:05:40,broken clouds
176,Milkovo,54.7167,158.6167,6.67,94,100,3.65,RU,2021-02-06 18:05:40,light snow
177,Aripuana,-9.1667,-60.6333,77.5,97,94,1.92,BR,2021-02-06 18:05:40,overcast clouds
178,Saryagash,41.4511,69.1701,53.6,35,40,9.22,KZ,2021-02-06 18:05:40,moderate rain
179,Todos Santos,23.45,-110.2167,69.01,66,3,4.0,MX,2021-02-06 18:05:40,clear sky
180,Novyy Urengoy,66.0833,76.6333,-20.24,87,99,12.19,RU,2021-02-06 18:03:50,overcast clouds
181,Chisinau,47.0056,28.8575,26.6,93,90,6.91,MD,2021-02-06 18:05:40,snow
182,Kavieng,-2.5744,150.7967,81.64,71,92,1.83,PG,2021-02-06 18:05:40,overcast clouds
183,Udachnyy,66.4167,112.4,-36.27,79,0,4.27,RU,2021-02-06 18:05:40,clear sky
