City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,77.0,83,75,11.5,ZA,2021-02-06 15:40:37
1,Bambous Virieux,-20.3428,57.7575,80.6,74,20,8.05,MU,2021-02-06 15:42:54
2,Butaritari,3.0707,172.7902,80.89,81,91,21.9,KI,2021-02-06 15:40:02
3,Coquimbo,-29.9533,-71.3436,62.6,77,90,5.75,CL,2021-02-06 15:42:54
4,Cabildo,-38.4842,-61.8954,90.0,40,0,1.99,AR,2021-02-06 15:42:54
5,Airai,-8.9266,125.4092,61.0,97,100,1.97,TL,2021-02-06 15:42:54
6,Skierniewice,51.9548,20.1584,21.0,95,93,12.57,PL,2021-02-06 15:42:54
7,Kapaa,22.0752,-159.319,59.0,82,13,6.91,US,2021-02-06 15:39:52
8,Cidreira,-30.1811,-50.2056,75.22,63,57,11.12,BR,2021-02-06 15:41:52
9,Katobu,-4.9408,122.5276,76.03,94,89,3.36,ID,2021-02-06 15:42:54
10,Ilam,26.9167,87.9167,49.66,73,52,2.53,NP,2021-02-06 15:42:54
11,Sao Filipe,14.8961,-24.4956,71.1,71,2,15.68,CV,2021-02-06 15:40:25
12,Tingo Maria,-9.2895,-76.0088,71.6,100,75,2.3,PE,2021-02-06 15:42:54
13,Hermanus,-34.4187,19.2345,73.0,77,1,4.0,ZA,2021-02-06 15:38:04
14,Nemuro,43.3236,145.575,28.02,95,100,9.8,JP,2021-02-06 15:40:50
15,Port Said,31.2565,32.2841,64.4,72,0,6.91,EG,2021-02-06 15:42:55
16,Rikitea,-23.1203,-134.9692,77.47,74,100,13.2,PF,2021-02-06 15:39:56
17,Biak,-0.9131,122.8766,76.87,79,100,2.71,ID,2021-02-06 15:40:50
18,Cabo San Lucas,22.8909,-109.9124,62.6,67,1,3.44,MX,2021-02-06 15:40:11
19,Punta Arenas,-53.15,-70.9167,51.8,50,40,18.41,CL,2021-02-06 15:39:51
20,Katsuura,35.1333,140.3,50.0,57,0,10.36,JP,2021-02-06 15:42:55
